# Dados simulados — EcoPlate Biolog CLPP — Solo Cerrado (amostra fictícia)
# Leitura OD590 a 96h de incubação a 25°C
# Gerado por AgroDesign Lab para fins de teste e demonstração
# Para importar: aba Coleta → botão ⬆ Importar CSV
Poço,Linha,Coluna,Tipo,Tratamento,Replicata_Técnica,Bloco,Valor
E2,E,2,Amostra,"D-Galacturonic acid",1,1,0.396
E3,E,3,Amostra,"Putrescine",1,1,0.257
E4,E,4,Amostra,"L-Phenylalanine",1,1,0.508
E5,E,5,Amostra,"D-Xylose",2,2,1.254
E6,E,6,Amostra,"D-Galacturonic acid",2,2,0.405
E7,E,7,Amostra,"Putrescine",2,2,0.283
E8,E,8,Amostra,"L-Phenylalanine",2,2,0.447
E9,E,9,Amostra,"D-Xylose",3,3,1.234
E10,E,10,Amostra,"D-Galacturonic acid",3,3,0.374
E11,E,11,Amostra,"Putrescine",3,3,0.287
E12,E,12,Amostra,"L-Phenylalanine",3,3,0.482
F1,F,1,Amostra,"D-Mannitol",1,1,1.061
F2,F,2,Amostra,"γ-Hydroxybutyric acid",1,1,0.437
F3,F,3,Amostra,"L-Serine",1,1,0.862
F4,F,4,Amostra,"L-Threonine",1,1,0.821
F5,F,5,Amostra,"D-Mannitol",2,2,1.061
F6,F,6,Amostra,"γ-Hydroxybutyric acid",2,2,0.407
F7,F,7,Amostra,"L-Serine",2,2,0.87
F8,F,8,Amostra,"L-Threonine",2,2,0.737
F9,F,9,Amostra,"D-Mannitol",3,3,1.115
F10,F,10,Amostra,"γ-Hydroxybutyric acid",3,3,0.401
F11,F,11,Amostra,"L-Serine",3,3,0.929
F12,F,12,Amostra,"L-Threonine",3,3,0.761
G1,G,1,Amostra,"α-D-Lactose",1,1,1.023
G2,G,2,Amostra,"Itaconic acid",1,1,0.484
G3,G,3,Amostra,"Glycyl-L-Glutamic acid",1,1,0.659
G4,G,4,Amostra,"Phenylethylamine",1,1,0.228
G5,G,5,Amostra,"α-D-Lactose",2,2,1.075
G6,G,6,Amostra,"Itaconic acid",2,2,0.457
G7,G,7,Amostra,"Glycyl-L-Glutamic acid",2,2,0.682
G8,G,8,Amostra,"Phenylethylamine",2,2,0.229
G9,G,9,Amostra,"α-D-Lactose",3,3,1.008
G10,G,10,Amostra,"Itaconic acid",3,3,0.458
G11,G,11,Amostra,"Glycyl-L-Glutamic acid",3,3,0.691
G12,G,12,Amostra,"Phenylethylamine",3,3,0.257
H1,H,1,Amostra,"α-D-Glucose",1,1,1.294
H2,H,2,Amostra,"α-Ketobutyric acid",1,1,0.353
H3,H,3,Amostra,"Glycogen",1,1,0.721
H4,H,4,Amostra,"4-Hydroxy benzoic acid",1,1,0.197
H5,H,5,Amostra,"α-D-Glucose",2,2,1.29
H6,H,6,Amostra,"α-Ketobutyric acid",2,2,0.329
H7,H,7,Amostra,"Glycogen",2,2,0.781
H8,H,8,Amostra,"4-Hydroxy benzoic acid",2,2,0.185
H9,H,9,Amostra,"α-D-Glucose",3,3,1.28
H10,H,10,Amostra,"α-Ketobutyric acid",3,3,0.356
H11,H,11,Amostra,"Glycogen",3,3,0.774
H12,H,12,Amostra,"4-Hydroxy benzoic acid",3,3,0.198
